Data,Value
14239,blue
13979,blue
14262,blue
14105,blue
14236,blue
13557,blue
13687,blue
13879,blue
13935,blue
13877,blue
13901,blue
12663,blue
13455,blue
13648,blue
12747,blue
13193,blue
13678,blue
13612,blue
13172,blue
13290,blue
9916,green
9609,green
9741,green
9767,green
9329,green
9395,green
9384,green
9244,green
8882,green
8802,green
9147,green
9155,green
8523,green
9110,green
8495,green
8277,green
9252,green
8087,green
9234,green
8375,green
9204,green
8389,green
9283,green
9066,green
9135,green
9218,green
9081,green
9143,green
8603,green
8962,green
8734,green
9163,green
9182,green
9222,green
9013,green
9208,green
9178,green
9234,green
9214,green
9226,green
9169,green
9285,green
9176,green
9076,green
9180,green
9133,green
9214,green
9005,green
9252,green
9132,green
9124,green
9148,green
9070,green
9141,green
9034,green
8898,green
8487,green
9217,green
9269,green
8917,green
9115,green
9295,green
8787,green
9112,green
9258,green
9140,green
9258,green
9104,green
9096,green
9211,green
9222,green
9159,green
9208,green
9203,green
9429,green
9277,green
9277,green
9370,green
9456,green
9559,green
9406,green
9303,green
9626,green
9470,green
9557,green
8810,green
9464,green
9326,green
9376,green
9428,green
9286,green
9021,green
9148,green
9605,green
9494,green
9538,green
9476,green
9431,green
9714,green
9904,green
9858,green
9742,green
9831,green
9973,green
9980,green
10303,green
10384,green
10311,green
10395,green
10119,green
10010,green
9904,green
9828,green
9699,green
9525,green
7559,green
9293,green
9100,green
9520,green
9603,green
9157,green
8956,green
8802,green
9089,green
9586,green
9554,green
9692,green
9795,green
9977,green
9855,green
9587,green
9485,green
9644,green
9690,green
9489,green
9943,green
9854,green
9893,green
9903,green
9558,green
9472,green
9344,green
9364,green
9285,green
9106,green
9076,green
9148,green
8628,green
9083,green
9137,green
9498,green
9292,green
9222,green
9281,green
9105,green
9337,green
9471,green
9446,green
9260,green
8897,green
9013,green
9012,green
9028,green
9168,green
9057,green
7109,green
9259,green
7613,green
8179,green
9370,green
9562,green
9516,green
9595,green
9806,green
9779,green
